geoid,measure,year,region_type,value,moe
51001090100,material_deprivation_indicator,2017,tract,0.172557265771751,
51001090200,material_deprivation_indicator,2017,tract,0.125384480151008,
51001090300,material_deprivation_indicator,2017,tract,0.228160069965931,
51001090400,material_deprivation_indicator,2017,tract,0.309765185238941,
51001090500,material_deprivation_indicator,2017,tract,0.187341023567337,
51001090600,material_deprivation_indicator,2017,tract,0.163569495258316,
51001090700,material_deprivation_indicator,2017,tract,0.187007507266721,
51001090800,material_deprivation_indicator,2017,tract,0.20521496785373,
51001980100,material_deprivation_indicator,2017,tract,NaN,
51001980200,material_deprivation_indicator,2017,tract,NaN,
51001990100,material_deprivation_indicator,2017,tract,NaN,
51001990200,material_deprivation_indicator,2017,tract,NaN,
51003010100,material_deprivation_indicator,2017,tract,0.134785279080351,
51003010201,material_deprivation_indicator,2017,tract,0.0751830343056833,
51003010202,material_deprivation_indicator,2017,tract,0.0441926152681518,
51003010300,material_deprivation_indicator,2017,tract,0.119559603239075,
51003010401,material_deprivation_indicator,2017,tract,0.182707459683908,
51003010402,material_deprivation_indicator,2017,tract,0.103322981764538,
51003010500,material_deprivation_indicator,2017,tract,0.16303018663474,
51003010601,material_deprivation_indicator,2017,tract,0.195306671559883,
51003010602,material_deprivation_indicator,2017,tract,0.0940650835525429,
51003010700,material_deprivation_indicator,2017,tract,0.165122181955697,
51003010800,material_deprivation_indicator,2017,tract,0.212633140525116,
51003010901,material_deprivation_indicator,2017,tract,0.272242031212201,
51003010902,material_deprivation_indicator,2017,tract,0.439760386497367,
51003010903,material_deprivation_indicator,2017,tract,0.518439982159553,
51003011000,material_deprivation_indicator,2017,tract,0.0555048304799716,
51003011100,material_deprivation_indicator,2017,tract,0.0965577010830019,
51003011201,material_deprivation_indicator,2017,tract,0.100560150246075,
51003011202,material_deprivation_indicator,2017,tract,0.0552035046240349,
51003011301,material_deprivation_indicator,2017,tract,0.129443942541266,
51003011302,material_deprivation_indicator,2017,tract,0.307669264330882,
51003011303,material_deprivation_indicator,2017,tract,0.140499909027309,
51003011400,material_deprivation_indicator,2017,tract,0.168394865788997,
51005070100,material_deprivation_indicator,2017,tract,0.262010467054759,
51005080100,material_deprivation_indicator,2017,tract,0.0991851835869075,
51005080201,material_deprivation_indicator,2017,tract,0.110809427135073,
51005080202,material_deprivation_indicator,2017,tract,0.102395209291335,
51005080301,material_deprivation_indicator,2017,tract,0.144985094027301,
51005080302,material_deprivation_indicator,2017,tract,0.0577093726856809,
51007930100,material_deprivation_indicator,2017,tract,0.1254245617105,
51007930200,material_deprivation_indicator,2017,tract,0.154847362165788,
51009010100,material_deprivation_indicator,2017,tract,0.108223968537364,
51009010200,material_deprivation_indicator,2017,tract,0.171877364108853,
51009010300,material_deprivation_indicator,2017,tract,0.0571114762547168,
51009010401,material_deprivation_indicator,2017,tract,0.133090179463881,
51009010402,material_deprivation_indicator,2017,tract,0.17918018800685,
51009010502,material_deprivation_indicator,2017,tract,0.19815543458807,
51009010503,material_deprivation_indicator,2017,tract,0.300823536865414,
51009010504,material_deprivation_indicator,2017,tract,0.210856368300909,
51009010600,material_deprivation_indicator,2017,tract,0.25168878829641,
51011040100,material_deprivation_indicator,2017,tract,0.172394661952767,
51011040200,material_deprivation_indicator,2017,tract,0.0837281697234884,
51011040300,material_deprivation_indicator,2017,tract,0.112617729495389,
51013100100,material_deprivation_indicator,2017,tract,0.0435053208922658,
51013100200,material_deprivation_indicator,2017,tract,0.0461833598888983,
51013100300,material_deprivation_indicator,2017,tract,0.0571888200866896,
51013100400,material_deprivation_indicator,2017,tract,0.0491137482577265,
51013100500,material_deprivation_indicator,2017,tract,0.147252914496576,
51013100600,material_deprivation_indicator,2017,tract,0.152291796981036,
